antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'pink regency teacup and saucer', 'roses regency teacup and saucer'})","frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer'})",0.02352687243686596,0.020181308007770342,0.012896611266997626,0.5481651376146789,27.16202227346318,1.0,0.012421808207889712,2.1685327396376253,0.9863905752305695,0.4185639229422068,0.5388587030661542,0.5936012853848796
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer'})","frozenset({'pink regency teacup and saucer', 'roses regency teacup and saucer'})",0.020181308007770342,0.02352687243686596,0.012896611266997626,0.6390374331550802,27.16202227346318,1.0,0.012421808207889712,2.7051922200637937,0.983022571283863,0.4185639229422068,0.6303405012837062,0.5936012853848796
"frozenset({'green regency teacup and saucer', 'roses regency teacup and saucer'})","frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier'})",0.029192747679689185,0.016673861428879777,0.012896611266997626,0.4417744916820703,26.495031973631473,1.0,0.012409855437458237,1.7615213277052189,0.9911927139767002,0.3911620294599018,0.43230888875882817,0.6076186374267956
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier'})","frozenset({'green regency teacup and saucer', 'roses regency teacup and saucer'})",0.016673861428879777,0.029192747679689185,0.012896611266997626,0.773462783171521,26.495031973631473,1.0,0.012409855437458237,4.285420585242513,0.9785736770649625,0.3911620294599018,0.7666506752117518,0.6076186374267956
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer', 'roses regency teacup and saucer'})",frozenset({'pink regency teacup and saucer'}),0.016835743578674726,0.03000215842866393,0.012896611266997626,0.766025641025641,25.53235104224313,1.0,0.012391502620885866,4.145744199592559,0.9772873618121609,0.3799682034976153,0.7587887839056062,0.5979408780667773
frozenset({'pink regency teacup and saucer'}),"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer', 'roses regency teacup and saucer'})",0.03000215842866393,0.016835743578674726,0.012896611266997626,0.4298561151079137,25.53235104224313,1.0,0.012391502620885866,1.7244142794014412,0.9905527220859799,0.3799682034976153,0.4200929486926376,0.5979408780667773
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'roses regency teacup and saucer'})",frozenset({'green regency teacup and saucer'}),0.014299589898553853,0.03728685516943665,0.012896611266997626,0.9018867924528302,24.18779455533408,1.0,0.012363424529467908,9.812268591542283,0.97256410203552,0.33333333333333337,0.8980867685519786,0.6238811675722906
frozenset({'green regency teacup and saucer'}),"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'roses regency teacup and saucer'})",0.03728685516943665,0.014299589898553853,0.012896611266997626,0.3458755426917511,24.18779455533408,1.0,0.012363424529467908,1.506900405708184,0.9957865843777168,0.33333333333333337,0.3363861365940511,0.6238811675722906
frozenset({'pink regency teacup and saucer'}),"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer'})",0.03000215842866393,0.020181308007770342,0.014623354198143751,0.48741007194244607,24.151560035394148,1.0,0.014017871397996961,1.9115059394655431,0.98824426829048,0.41122913505311076,0.47685226639703765,0.6060045012118648
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer'})",frozenset({'pink regency teacup and saucer'}),0.020181308007770342,0.03000215842866393,0.014623354198143751,0.7245989304812834,24.151560035394144,1.0,0.014017871397996961,3.522128084928929,0.9783389672204904,0.41122913505311076,0.7160807398575403,0.6060045012118648
frozenset({'pink regency teacup and saucer'}),"frozenset({'green regency teacup and saucer', 'roses regency teacup and saucer'})",0.03000215842866393,0.029192747679689185,0.021044679473343406,0.7014388489208634,24.02784611497494,1.0,0.02016883403248936,3.251619471627066,0.9880244884917782,0.5516265912305517,0.6924609387027647,0.7111630473809493
"frozenset({'green regency teacup and saucer', 'roses regency teacup and saucer'})",frozenset({'pink regency teacup and saucer'}),0.029192747679689185,0.03000215842866393,0.021044679473343406,0.7208872458410351,24.027846114974935,1.0,0.02016883403248936,3.47529028006684,0.9872007228685566,0.5516265912305517,0.7122542523323355,0.7111630473809493
"frozenset({'pink regency teacup and saucer', 'roses regency teacup and saucer'})",frozenset({'green regency teacup and saucer'}),0.02352687243686596,0.03728685516943665,0.021044679473343406,0.8944954128440368,23.989564386144266,1.0,0.020167436388200174,9.124846329263606,0.9814045886327052,0.5291723202170963,0.8904091133246841,0.7294474169864178
frozenset({'green regency teacup and saucer'}),"frozenset({'pink regency teacup and saucer', 'roses regency teacup and saucer'})",0.03728685516943665,0.02352687243686596,0.021044679473343406,0.5643994211287988,23.989564386144266,1.0,0.020167436388200174,2.2416708675951016,0.9954317266911852,0.5291723202170963,0.5539041817174458,0.7294474169864178
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier'})",frozenset({'green regency teacup and saucer'}),0.016673861428879777,0.03728685516943665,0.014623354198143751,0.8770226537216828,23.520960663922175,1.0,0.014001638341929855,7.828377940859049,0.9737204088827366,0.37174211248285316,0.8722596165444888,0.6346039462530266
frozenset({'green regency teacup and saucer'}),"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier'})",0.03728685516943665,0.016673861428879777,0.014623354198143751,0.39218523878437045,23.520960663922175,1.0,0.014001638341929855,1.6178056232205813,0.9945690830710224,0.37174211248285316,0.3818787710668909,0.6346039462530266
